quote_file,linked_po,linked_pr,quote_ref,status,quote_date_text,quote_currency,quote_max_amount,discount_pct_max,discount_amount,discount_notes
9100307845_quote_Q-676756.pdf,9100307845,,Q-676756,parsed,"April 16, 2026",SGD,3622.5,25.0,,"Discount is rounded to 2 decimal places // Providing customer with 25% discount for mTeSR Plus as per tiered-discount structure for mTeSR Plus (as quoted in Q-670248, Q-"
9100308169_quote_Q126300419 R1 - BE1S_SALES QUOTATION-20260623-084220.pdf,9100308169,,Q126300419 R1 - BE1S_SALES QUOTATION-20260623-084220,parsed,22 Jul 2026,SGD,,,,
9100308170_quote_SW26-0625.pdf,9100308170,,SW26-0625,parsed,23/Jun/2026,SGD,,,,
9100308256_quote_Discount Statement 160581.pdf,9100308256,,Discount Statement 160581,parsed,"June 17, 2027",SGD,489.6,,,Discount Statement #160581 has been issued to: // **Threshold discount represents the additional discount off your discounted price on the relevant service or additive fee after the order threshold is met // Discount Statement Terms & Conditions
9100308256_quote_QTE-835476_Rev2.pdf,9100308256,,QTE-835476_Rev2,parsed,23 Jun 2026,SGD,452.75,,,Discount Statement # 160581 applied
9100308256_quote_example_plate-file-upload GB20260618.xls,9100308256,,example_plate-file-upload GB20260618,spreadsheet attachment - not parsed,,,,,,
9100309165_quote_Q-682093.pdf,9100309165,,Q-682093,parsed,,USD,158.4,,,
9100310655_quote_Q66613-Aidan Mcmorrow.pdf,9100310655,,Q66613-Aidan Mcmorrow,parsed,,SGD,,,,
9100310656_quote_SQ-50021551.pdf,9100310656,,SQ-50021551,parsed,,SGD,212.4,10.0,,The price is after the 10% exclusive discount to NTU
9100311303_quote_Q26070802.pdf,9100311303,,Q26070802,parsed,8 July 2026,SGD,898.0,,,Discount for purchase of all items in the quote – 1x delivery
9100311875_quote_Q-676756  _1.pdf,9100311875,,Q-676756  _1,parsed,"April 16, 2026",SGD,3622.5,25.0,,"Discount is rounded to 2 decimal places // Providing customer with 25% discount for mTeSR Plus as per tiered-discount structure for mTeSR Plus (as quoted in Q-670248, Q-"
9100311882_quote_PBQ-212060_V1_ProbioscienceQuote.pdf,9100311882,,PBQ-212060_V1_ProbioscienceQuote,parsed,15 Jul 2026,SGD,208.19,,,
9100312818_quote_Plasmidsaurus_Quote_26N22-035120.pdf,9100312818,,Plasmidsaurus_Quote_26N22-035120,parsed,"July 22, 2026",USD,3000.0,,,
9100313199_quote_ST-Q20074225 NTU SBS_Microscope_bulb.pdf,9100313199,,ST-Q20074225 NTU SBS_Microscope_bulb,parsed,23-Jul-26,SGD,381.5,,,
9100313657_quote_SQ-50021757.pdf,9100313657,,SQ-50021757,parsed,,SGD,839.61,10.0,,We offer 10% discount to NTU researchers // The price is after additional 5% discount for NTU new lab
9100314602_quote_Quotation_0070396883_Aidan_NTU.pdf,9100314602,,Quotation_0070396883_Aidan_NTU,parsed,,SGD,,,,
9100314859_quote_SW26-0755.pdf,9100314859,,SW26-0755,parsed,03/Aug/2026,SGD,,,,
9100314866_quote_TTM Quotation-20260803-Lab Consumable.pdf,9100314866,,TTM Quotation-20260803-Lab Consumable,parsed,,SGD,212.43,,,
9100315280_quote_peipro.pdf,9100315280,,peipro,parsed,,SGD,577.7,,,
9100315631_quote_BamH1 n Esp3I.pdf,9100315631,,BamH1 n Esp3I,parsed,,SGD,748.8,10.0,,R3136S is after special discount to be consistent with ARIBA NEB E-catalogue pricing // R0734L is after the 10% exclusive discount to NTU
9100315631_quote_T4 dna ligase.pdf,9100315631,,T4 dna ligase,parsed,,SGD,515.97,10.0,,The price is after the 10% exclusive discount to NTU
9100315916_quote_Q-702696.pdf,9100315916,,Q-702696,parsed,"August 7, 2026",SGD,436.0,,,
9100316319_quote_SQ-50022022.pdf,9100316319,,SQ-50022022,parsed,,SGD,299.6,,,
9100317433_quote_D6349034_Consumable_NTU SBS_Xueting.pdf,9100317433,,D6349034_Consumable_NTU SBS_Xueting,parsed,06 Singapore 7392,SGD,3985.04,,,
9100317971_quote_Richard She Quotation 20001170.pdf,9100317971,,Richard She Quotation 20001170,parsed,15 samples 30,SGD,0.0,,,
9100318071_quote_Quote SSQ26-5090.pdf,9100318071,,Quote SSQ26-5090,parsed,41 Singapore 1598,SGD,1329.8,,,
9100318430_quote_NTU10055134 REV1_To Provide Site Visit_Assessment for BSC Tube Connector.pdf,9100318430,,NTU10055134 REV1_To Provide Site Visit_Assessment for BSC Tube Connector,parsed,,SGD,261.6,,,
9100319113_quote_SQ-50022202.pdf,9100319113,,SQ-50022202,parsed,,SGD,1323.0,10.0,,The price is after the 10% exclusive discount to NTU
9100319343_quote_wall_mount_pipette_quote.pdf,9100319343,,wall_mount_pipette_quote,parsed,,SGD,138.67,,,
9100319346_quote_GIRK2_quote.pdf,9100319346,,GIRK2_quote,parsed,,SGD,1534.88,,,
9100319936_quote_TTM Quotation-20260903-Lab Consumable-NTU -.pdf,9100319936,,TTM Quotation-20260903-Lab Consumable-NTU -,parsed,,SGD,531.5,,,
9100320097_quote_Plasmidsaurus_Quote_26U05-053113.pdf,9100320097,,Plasmidsaurus_Quote_26U05-053113,parsed,"September 05, 2026",USD,3000.0,,,
9100320185_quote_PI-202609SG07001.pdf,9100320185,,PI-202609SG07001,parsed,07/Sep/26,SGD,1831.08,,,
9100320202_quote_Quote-ZY185695.pdf,9100320202,,Quote-ZY185695,parsed,01 Sept 2026,SGD,,,,
9100320990_quote_NEB T7 exonuclease - Nb.Btsl - Nb.BsrDI.pdf,9100320990,,NEB T7 exonuclease - Nb.Btsl - Nb.BsrDI,parsed,,SGD,153.0,10.0,,The price is after the 10% exclusive discount to NTU
9100321172_quote_2026057462-NTUSBS-Zhao Xueting.pdf,9100321172,,2026057462-NTUSBS-Zhao Xueting,parsed,,SGD,374.96,,,
9100321357_quote_T4 DNA ligase buffer.pdf,9100321357,,T4 DNA ligase buffer,parsed,,SGD,111.6,10.0,,The price is after the 10% exclusive discount to NTU
9100321618_quote_HY-20260915001-mce - Zhang Xueting - NTU.pdf,9100321618,,HY-20260915001-mce - Zhang Xueting - NTU,parsed,,USD,,,,
9100321619_quote_Richard Q67174.pdf,9100321619,,Richard Q67174,parsed,,SGD,,,,
PR689458_quote_D6109356_Consumable_NTU SBS_Xueting Richard She lab.pdf,,PR689458,D6109356_Consumable_NTU SBS_Xueting Richard She lab,parsed,06 Singapore 7392,SGD,3361.56,,,
PR696727_quote_IG Official Quotation.pdf,,PR696727,IG Official Quotation,parsed,,,3383.0,,,
PR720322_quote_NTU_McMorrow_Lab Items_V2.pdf,,PR720322,NTU_McMorrow_Lab Items_V2,parsed,,USD,2075.0,,,
PR725938_quote_Q-659740.pdf,,PR725938,Q-659740,parsed,,USD,3120.0,,,
PR726199_quote_Q-660544.pdf,,PR726199,Q-660544,parsed,,USD,3120.0,,,
PR727260_quote_Q-683886.pdf,,PR727260,Q-683886,parsed,"May 15, 2026",SGD,300.0,,,
PR727661_quote_Q-683886-final.pdf,,PR727661,Q-683886-final,parsed,"May 15, 2026",SGD,724.0,,,
PR745654_quote_BAMH1 and Esp3I.pdf,,PR745654,BAMH1 and Esp3I,parsed,,SGD,748.8,10.0,,The price is after the 10% exclusive discount to NTU
PR745654_quote_T4 dna ligase.pdf,,PR745654,T4 dna ligase,parsed,,SGD,515.97,10.0,,The price is after the 10% exclusive discount to NTU
